time,VNINDEX,VCB,BID,VIC,HPG,MSN,MWG,GAS
2018-03-30 07:00:00,1.17,29.81,23.67,43.06,11.45,91.95,26.0,74.93
2018-04-02 07:00:00,1.2,31.29,24.55,45.19,11.18,92.84,25.37,77.61
2018-04-03 07:00:00,1.19,31.42,24.6,44.93,11.09,91.55,23.74,75.84
2018-04-04 07:00:00,1.19,31.08,24.44,46.84,11.18,89.12,24.18,74.13
2018-04-05 07:00:00,1.19,31.08,24.0,48.13,11.14,88.71,24.29,74.07
2018-04-06 07:00:00,1.2,31.08,24.0,48.64,11.45,86.52,24.27,74.01
2018-04-09 07:00:00,1.2,31.21,24.22,49.56,11.52,86.69,23.83,74.01
2018-04-10 07:00:00,1.2,31.51,24.82,48.13,11.52,85.07,23.28,73.84
2018-04-11 07:00:00,1.17,30.11,24.27,46.29,11.47,79.39,23.0,72.13
2018-04-12 07:00:00,1.17,29.98,24.22,46.66,11.69,82.63,23.85,74.41
2018-04-13 07:00:00,1.16,28.71,22.91,46.88,11.6,83.04,24.29,72.99
2018-04-16 07:00:00,1.15,27.87,21.82,47.28,11.39,84.5,24.43,72.59
2018-04-17 07:00:00,1.15,28.33,22.86,47.76,11.31,84.26,24.25,72.99
2018-04-18 07:00:00,1.14,27.4,21.93,47.72,11.18,81.01,23.74,73.73
2018-04-19 07:00:00,1.09,25.8,20.73,44.42,10.8,75.34,22.59,73.73
2018-04-20 07:00:00,1.12,27.06,21.52,45.19,11.14,77.94,23.53,76.41
2018-04-23 07:00:00,1.08,25.2,20.02,45.26,10.54,76.96,24.66,71.11
2018-04-24 07:00:00,1.08,25.37,20.73,46.66,10.61,77.61,24.59,73.44
2018-04-26 07:00:00,1.04,24.61,19.91,46.66,10.14,72.26,23.45,68.31
2018-04-27 07:00:00,1.05,25.37,19.69,46.29,10.2,74.37,23.73,63.58
2018-05-02 07:00:00,1.03,24.61,18.33,45.92,10.31,75.67,23.61,59.13
2018-05-03 07:00:00,1.03,25.2,18.38,45.19,10.29,74.53,23.64,55.03
2018-05-04 07:00:00,1.03,24.95,17.73,45.74,10.23,74.13,23.61,55.88
2018-05-07 07:00:00,1.06,26.26,18.96,45.77,10.61,78.18,25.13,59.02
2018-05-08 07:00:00,1.06,25.8,19.37,45.52,10.8,78.58,24.57,58.73
2018-05-09 07:00:00,1.06,25.16,19.09,45.15,10.8,76.96,24.64,61.3
2018-05-10 07:00:00,1.03,23.89,17.84,44.27,10.46,76.15,23.26,59.87
